เลขร้านค้า,ชื่อร้านค้า,รายการไอเทม,ราคา
803223,จีฟาไฉข้าวมันไก่สิงคโปร์,Delivery,10.00
803224,Habu Cha,ชานมไต้หวัน,19.00
803224,Habu Cha,ชาผลไม้,19.00
803224,Habu Cha,ชานม,24.00
803224,Habu Cha,เมนูโซดา,20.00
803224,Habu Cha,น้ำสมุนไพร,22.00
803224,Habu Cha,เครื่องดื่ม,49.00
803224,Habu Cha,อเมริกาโน่,35.00
803224,Habu Cha,เอสเปสโซ่ เย็น,40.00
803224,Habu Cha,คาปูชิโน่เย็น,45.00
803224,Habu Cha,มอคค่าเย็น,45.00
803224,Habu Cha,ลาเต้เย็น,45.00
803224,Habu Cha,สเลอร์ปี้ชาไทย,40.00
803224,Habu Cha,น้ำพันซ์,30.00
803224,Habu Cha,น้ำดื่ม,12.00
803224,Habu Cha,น้ำแข็งเปล่า,3.00
803224,Habu Cha,วาฟเฟิล,40.00
803224,Habu Cha,ไอศครีม,20.00
803224,Habu Cha,เพิ่ม Topping,5.00
803224,Habu Cha,เพิ่ม Topping 10,10.00
803224,Habu Cha,Topping A,15.00
803224,Habu Cha,Delivery,10.00
803225,ส้มตำ อาหารอีสาน,ส้มตำไทย ปู ปลาร้า,59.00
803225,ส้มตำ อาหารอีสาน,ตำซั่ว /ตำหอยดอง,59.00
803225,ส้มตำ อาหารอีสาน,ตำแตง,59.00
803225,ส้มตำ อาหารอีสาน,ตำไทย/ตำข้าวโพด,69.00
803225,ส้มตำ อาหารอีสาน,ตำกุ้งสด,89.00
803225,ส้มตำ อาหารอีสาน,ตำปูม้า,120.00
803225,ส้มตำ อาหารอีสาน,ส้มตำป่า,69.00
803225,ส้มตำ อาหารอีสาน,น้ำตกหมู ลาบหมู,79.00
803225,ส้มตำ อาหารอีสาน,ลาบเนื้อ,100.00
803225,ส้มตำ อาหารอีสาน,คอหมูย่าง,79.00
803225,ส้มตำ อาหารอีสาน,ซุปหน่อไม้,59.00
803225,ส้มตำ อาหารอีสาน,ยำต่างๆ,59.00
803225,ส้มตำ อาหารอีสาน,ยำหมูยอ,79.00
803225,ส้มตำ อาหารอีสาน,ยำรวมมิตรทะเล,120.00
803225,ส้มตำ อาหารอีสาน,ยำสามกรอบ,79.00
803225,ส้มตำ อาหารอีสาน,ลูกชิ้นไม้ละ,12.00
803225,ส้มตำ อาหารอีสาน,ขนมจีน/ข้าวเหนียว,12.00
803225,ส้มตำ อาหารอีสาน,ไก่ย่าง,12.00
803225,ส้มตำ อาหารอีสาน,Delivery,10.00
803226,โทริมารุ คาราอาเกะ,ไก่คาราเกะ,45.00
803226,โทริมารุ คาราอาเกะ,ไก่คาราเกะ M,65.00
803226,โทริมารุ คาราอาเกะ,ไก่คาราเกะ L,85.00
803226,โทริมารุ คาราอาเกะ,ข้าวไก่คาราเกะ,55.00
